thread_id,source_order,heading,arxiv,bibcode
1,1,Jimenez et al. (2023) - SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,2310.06770,2023arXiv231006770J
1,2,Aleithan et al. (2024) - SWE-Bench+: Enhanced Coding Benchmark for LLMs,2410.06992,2024arXiv241006992A
1,3,Liang et al. (2025) - The SWE-Bench Illusion: When State-of-the-Art LLMs Remember Instead of Reason,2506.12286,2025arXiv250612286L
1,4,Prathifkumar et al. (2025) - Does SWE-Bench-Verified Test Agent Ability or Model Memory?,2512.10218,2025arXiv251210218P
1,5,Yu et al. (2025) - UTBoost: Rigorous Evaluation of Coding Agents on SWE-Bench,2506.09289,2025arXiv250609289Y
1,6,Liu et al. (2023) - Is Your Code Generated by ChatGPT Really Correct? Rigorous Evaluation of Large Language Models for Code Generation (EvalPlus),2305.01210,2023arXiv230501210L
1,7,Jain et al. (2024) - LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code,2403.07974,2024arXiv240307974J
1,8,"Riddell, Ni & Cohan (2024) - Quantifying Contamination in Evaluating Code Generation Capabilities of Language Models",2403.04811,2024arXiv240304811R
1,9,Matton et al. (2024) - On Leakage of Code Generation Evaluation Datasets,2407.07565,2024arXiv240707565M
1,10,"Zhang, L. et al. (2025) - SWE-bench Goes Live! (SWE-bench-Live)",2505.23419,2025arXiv250523419Z
1,11,Adamenko et al. (2025) - SWE-MERA: A Dynamic Benchmark for Agenticly Evaluating Large Language Models on Software Engineering Tasks,2507.11059,2025arXiv250711059A
1,12,Zhou et al. (2025) - LessLeak-Bench: A First Investigation of Data Leakage in LLMs Across 83 Software Engineering Benchmarks,2502.06215,2025arXiv250206215Z
1,13,"Zhang, H. et al. (2024) - A Careful Examination of Large Language Model Performance on Grade School Arithmetic (GSM1k)",2405.00332,2024arXiv240500332Z
1,14,Oren et al. (2023) - Proving Test Set Contamination in Black Box Language Models,2310.17623,2023arXiv231017623O
1,15,Ramos et al. (2024) - Are Large Language Models Memorizing Bug Benchmarks?,2411.13323,2024arXiv241113323R
1,16,Bean et al. (2025) - Measuring what Matters: Construct Validity in Large Language Model Benchmarks,2511.04703,2025arXiv251104703B
1,17,Haimes et al. (2024) - Benchmark Inflation: Revealing LLM Performance Gaps Using Retro-Holdouts,2410.09247,2024arXiv241009247H
2,1,Amodei et al. (2016) - Concrete Problems in AI Safety,1606.06565,2016arXiv160606565A
2,2,Skalse et al. (2022) - Defining and Characterizing Reward Hacking,2209.13085,2022arXiv220913085S
