surfaced_at,identifier,arxiv,doi,title,url,decision,evidence_group,placement,bounded_claim_or_reason
2026-07-27,arXiv:2607.22368,2607.22368,,Do Agent Benchmarks Measure Capability? Protocol Validity in the Age of Agentic AI,https://arxiv.org/abs/2607.22368,admitted,strong,Chapter 3; checklist-agentic-benchmarks-for-validity,Audited protocol exposures and paired score inflation under identified benchmark conditions.
2026-07-27,arXiv:2607.22157,2607.22157,,Learning on the Job: Continual Learning from Deployment Feedback for Frozen-Weights Agents,https://arxiv.org/abs/2607.22157,deferred,,update queue,"Relevant to memory, but not required to correct or materially extend a frozen chapter claim."
2026-07-27,arXiv:2607.22479,2607.22479,,Legal Nugget Extraction for Granular Retrieval over Long Jurisprudential Texts,https://arxiv.org/abs/2607.22479,deferred,,update queue,Retrieval-granularity result is outside repository-code evidence and adds no necessary qualification.
2026-07-27,arXiv:2607.22520,2607.22520,,The Regression Tax: Decomposing Why Skills Help and Hurt LLM Agents,https://arxiv.org/abs/2607.22520,admitted,strong,Chapter 2; run-ablation-controls,"Nearly 6,000 controlled runs support separating gains, regressions, and residual failures; coding transfer is directional."
2026-07-28,arXiv:2607.21997,2607.21997,,"Go Home Copilot, You're Drunk: Understanding Developer Responses to AI Coding Assistance",https://arxiv.org/abs/2607.21997,deferred,,update queue,Developer-response study is relevant but does not alter a developed reliability control.
2026-07-28,arXiv:2607.22807,2607.22807,,The Best Programming Language for Tokenmaxxing: An Investigation of AI-Assisted Code Generation,https://arxiv.org/abs/2607.22807,deferred,,update queue,Language-token comparison is outside the monograph's system-reliability claims.
2026-07-28,arXiv:2607.22917,2607.22917,,"Agent Team Work Zone: An Automated, Persistent Workspace for Long-Lived Agentic Coding",https://arxiv.org/abs/2607.22917,deferred,,update queue,Architecture proposal does not add a necessary controlled result to the durable-state chapters.
2026-07-28,arXiv:2607.24663,2607.24663,,A Corrective Agentic Hybrid RAG and an Operations-Grounded Evaluation for Production Incident Response,https://arxiv.org/abs/2607.24663,deferred,,update queue,Adjacent incident-response result; transfer to repository coding requires separate treatment.
2026-07-29,arXiv:2607.24882,2607.24882,,Agent Retrieval Bench: Evaluating Repository Context Retrieval for Coding Agents,https://arxiv.org/abs/2607.24882,admitted,strong,Chapter 11; score-retrieval-and-generation-separately,Direct repository retrieval benchmark plus a controlled seed-context pilot.
2026-07-29,arXiv:2607.25152,2607.25152,,When Do Agent Loops Mistake Stagnation for Progress?,https://arxiv.org/abs/2607.25152,admitted,strong,Chapter 4; gate-self-correction-on-external-feedback,Controlled evaluator-channel intervention directly tests externally grounded progress gates.
2026-07-29,arXiv:2607.25765,2607.25765,,WorkSurface-Bench: Benchmarking Enterprise Agents on Multi-Surface Knowledge Routing,https://arxiv.org/abs/2607.25765,deferred,,update queue,Enterprise knowledge routing is adjacent but does not change a developed coding-agent claim.
2026-07-30,arXiv:2607.26451,2607.26451,,ExplainBench: Evaluating Code Explanations from Agents,https://arxiv.org/abs/2607.26451,deferred,,update queue,Explanation quality is outside the selected chapter claims.
2026-07-30,arXiv:2607.27155,2607.27155,,OmegaUse-OfficeVal: Benchmarking LLM Agents on Long-Horizon Office-Suite Tasks with Economic Grounding,https://arxiv.org/abs/2607.27155,deferred,,update queue,Office-suite benchmark is useful context but adds no required coding-agent control.
2026-07-30,arXiv:2607.26191,2607.26191,,Position: Evaluation Scores Are Perishable Knowledge Claims,https://arxiv.org/abs/2607.26191,deferred,,update queue,Position paper is consistent with the benchmark-lifecycle argument but adds no new measurement.
2026-07-30,arXiv:2604.01527,2604.01527,,REAP: Automatic Curation of Coding Agent Benchmarks from Interactive Production Usage,https://arxiv.org/abs/2604.01527,already_present,directional,Chapter 3; benchmark-on-your-own-workload,The source was already included before the update audit.
2026-07-30,arXiv:2607.24888,2607.24888,,Trusting-Trust Attack against an Entire Linux Distribution through Binary Manipulation,https://arxiv.org/abs/2607.24888,deferred,,update queue,Supply-chain attack is outside the coding-agent system boundary developed here.
2026-07-31,arXiv:2607.26819,2607.26819,,A First Look at Coding Agents' Compliance with AI Contribution Rules in Open-Source Communities,https://arxiv.org/abs/2607.26819,deferred,,update queue,Governance study is relevant but does not change a developed control in this edition.
