title,doi,year,venue,type,query_ids,already_in_manuscript,landing_page
"Faster Code, Deeper Debt? A Multivocal Literature Review on Technical Debt and Its Early Signs in LLM-Assisted Software Development",10.1145/3820165,2026,ACM Transactions on Software Engineering and Methodology,article,secondary-study-method|evaluation-validity|human-review|adoption-governance,false,https://doi.org/10.1145/3820165
Comparing Methods for Large-Scale Agile Software Development: A Systematic Literature Review,10.1109/tse.2021.3069039,2021,IEEE Transactions on Software Engineering,review,secondary-study-method|grader-validity|topology,false,https://doi.org/10.1109/tse.2021.3069039
Software Engineering for AI-Based Systems: A Survey,10.1145/3487043,2022,ACM Transactions on Software Engineering and Methodology,article,secondary-study-method|grader-validity|human-review,false,https://doi.org/10.1145/3487043
Testing machine learning based systems: a systematic mapping,10.1007/s10664-020-09881-0,2020,Empirical Software Engineering,article,grader-validity|retrieval-context,false,https://doi.org/10.1007/s10664-020-09881-0
A teamwork effectiveness model for agile software development,10.1007/s10664-021-10115-0,2022,Empirical Software Engineering,article,secondary-study-method|grader-validity,false,https://doi.org/10.1007/s10664-021-10115-0
Topic modeling in software engineering research,10.1007/s10664-021-10026-0,2021,Empirical Software Engineering,article,grader-validity|retrieval-context,false,https://doi.org/10.1007/s10664-021-10026-0
Opinion Mining for Software Development: A Systematic Literature Review,10.1145/3490388,2022,ACM Transactions on Software Engineering and Methodology,review,grader-validity|retrieval-context,false,https://doi.org/10.1145/3490388
Practical relevance of software engineering research: synthesizing the community’s voice,10.1007/s10664-020-09803-0,2020,Empirical Software Engineering,article,secondary-study-method|grader-validity,false,https://doi.org/10.1007/s10664-020-09803-0
Development of recommendation systems for software engineering: the CROSSMINER experience,10.1007/s10664-021-09963-7,2021,Empirical Software Engineering,article,grader-validity|retrieval-context,false,https://doi.org/10.1007/s10664-021-09963-7
Developer discussion topics on the adoption and barriers of low code software development platforms,10.1007/s10664-022-10244-0,2022,Empirical Software Engineering,article,grader-validity|retrieval-context,false,https://doi.org/10.1007/s10664-022-10244-0
